Aarhus,AAR,Tirstrup
Midland,MDD,Airpark
Midland,MAF,Odessa Regional
Lake Charles,LCH,Municipal
Lake Geneva,XES,Municipal
Monahans,MIF,Roy Hurd Memorial
Lake Havasu City,HII,Municipal
Mansfield,MFD,Lahm Municipal
Lamar,LAA,Lamar Field
New Orleans,NEW,Lakefront
New Orleans,NBG,NAS/Alvin Callendar
Lansdowne,LDW,Lansdowne
Lansing,LAN,Capital City
Minden,MEV,Douglas County
New Iberia,ARA,Acadiana Regional
New Iberia,LFT,Lafayette Regional
Lathrop,LRO,Sharpe AAF
Latrobe,LBE,Westmoreland County
Latrobe,LTB,Latrobe
Moses Lake,MWH,Grant County
Moses Lake,LRN,Larson AFB
Laurel,PIB,Hattiesburg-Laurel Reg
Laurel,LUL,Hesler-Noble Field
Marysville,BAB,Beale AFB
Marysville,MYV,Yuba County
Lawrence,LWC,Lawrence
Lawrence,LWM,Lawrence
North Bend,OTH,North Bend
Lawrenceville,LWV,Municipal
Lawrenceville,LVL,Lawrenceville
Lawton,LAW,Municipal
Leadville,LXV,Leadville
Mount Vernon,MVW,Skagit Regional
Manassas,MNZ,Manassas
Lemoore,NLC,NAS/Reeves Field
Lynchburg,LYH,Preston-Glenn Field
Leonardtown,LTW,St Marys County
Milford,MLF,Milford
Merrill,RRL,Municipal
Lewiston,LWS,Nez Perce County Rgnl
Lewiston,LEW,Auburn
Lewistown,LWT,Municipal
Montgomery,MGM,Dannelly Fld
Montgomery,GUN,Gunter AFB
Montgomery,MXF,Maxwell AFB
Montgomery,MGJ,Orange County
Mobile,BFM,Mob Aerospace
Mobile,MOB,Mobile Regional Arpt
Liberal,LBL,Municipal
Little Rock,LIT,Regional Airport
Mena,MZX,Mena
Mountain Home,WMH,Mountain Home
Mountain Home,MUO,AFB
Magnolia,AGO,Municipal
Morrilton,MPJ,Petit Jean Park
Montpelier,MPV,Edward F Knapp State
Livermore,LVK,Livermore
Lock Haven,LHV,W T Piper Memorial
Mattoon,MTO,Coles County Memorial
Lompoc,LPC,Lompoc Airport
Lompoc,VBG,Vandenberg AFB
Morris,MOX,Municipal
Long Beach,JLB,Heliport
Long Beach,LGB,Long Beach Municipal
Moline,MLI,Quad-City
Lyons,LYO,Rice County Municipal
Niles,NLE,Jerry Tyler Memorial
Los Banos,LSN,Los Banos
Northbrook,OBK,Sky Harbor
Louisville,LOU,Bowman Field
Louisville,LJC,Intercontinental
Louisville,SDF,Standiford Field
Louisville,LMS,Winston County
Manhattan,MHK,Municipal
Ludington,LDM,Mason County
Macomb,MQB,Municipal
Moultrie,MUL,Spence
Moultrie,MGR,Thomasville
Milledgeville,MLJ,Baldwin County
Lyndhurst,LTP,Lyndhurst
Marietta,NCQ,Atlanta NAS
Marietta,MGE,Dobbins AFB
Madeira,FNC,Madeira
Madera,MAE,Madera
Madras,MDJ,City-county
Massena,MSS,Richards Field
Malden,MAW,Malden
Meadville,MEJ,Meadville
Mammoth Lakes,MMH,Mammoth Lakes
Manistee,MBL,Blacker
Mankato,MKT,Municipal
Mankato,JMN,Municipal Heliport
Mount Shasta,MHS,Rep
Marana,MZJ,Marana
Norwalk,ORQ,Heliport
Merced,MER,Castle AFB
Merced,MCE,Merced Municipal Arpt
Marlborough,MXG,Marlborough
Marquette,MQT,Sawyer International
Marshalltown,MIW,Municipal
Napa,APC,Napa County
Newport Beach,JNP,Heliport
Mason City,MCW,Mason City
Mountain View,NUQ,Moffett Field
Monterey,MRY,Monterey Peninsula
Needles,EED,Needles
Modesto,MOD,Municipal
Novato,NOT,Novato
Medford,MFR,Jackson County
Medford,MDF,Medford
Montrose,MTJ,Montrose County
Muscatine,MUT,Muscatine
Meridian,MEI,Key Field
Mesa,MSC,Falcon Field
Muskogee,MKO,Davis Field
Muskogee,HAX,Hatbox Field
Norman,OUN,Max Westheimer
Michigan City,MGC,Michigan City Arpt
Miles City,MLS,Municipal
New Haven,HVN,New Haven
New Haven,ZVE,New Haven Rail
Minneapolis,MIC,Crystal
Minneapolis,JDT,Downtown Heliport
Minneapolis,FCM,Flying Cloud
Minneapolis,MSP,St Paul Intl
Missoula,MSO,Johnson-Bell Field
Mitchell,MTQ,Mitchell
Mitchell,MHE,Municipal
New Bedford,EWB,New Bedford
Moab,CNY,Canyonlands Field
Moberly,MBY,Moberly
Morehead,MHY,Morehead
Natchez,HEZ,Hardy-Anders
Myrtle Beach,CRE,Grand Strand Airport
Myrtle Beach,MYR,Myrtle Beach AFB
Murray,CEY,Calloway County
Muncie,MIE,Delaware County
Muskegon,MKG,Muskegon
New Philadelphia,PHD,Harry Clever
Nephi,NPH,Nephi
Nevada,NVD,Nevada
Neosho,EOS,Neosho
New Ulm,ULM,New Ulm
Nyeri,NYE,Nyeri
Nykoping,XWZ,Nykoping
Nzerekore,NZE,Nzerekore
Oak Harbor,ODW,Oak Harbor
Oakham,OKH,Cottesmor RAF
Oakland,JCE,Convention Center H/P
Oakland,OAK,Metropolitan Oak Intl
Oakland,OBT,Oakland/Coliseum Stat
Oaxaca,OAX,Xoxocotlan
Obidos,OBI,Obidos
Obihiro,OBO,Obihiro
Obock,OBC,Obock
Ocala,OCF,Taylor Field
Ocana,OCV,Aguasclaras
Ocean City,OCE,Municipal
Oceanside,OCN,Municipal
Odense,ODE,Beldringe
Odessa,ODS,Central
Ogden,HIF,Hill AFB
Ogden,OGD,Municipal
Ogdensburg,OGS,Ogdensburg
Oil City,OIL,Splane Memorial
Oita,OIT,Oita
Okayama,OKJ,Okayama
Okeechobee,OBE,County
Okhotsk,OHO,Okhotsk
Oklahoma City,DWN,Downtown Airpark
Oklahoma City,TIK,Tinker AFB
Oklahoma City,PWA,Wiley Post
Oklahoma City,OKC,Will Rogers World
Okmulgee,OKM,Okmulgee
Olavarria,OVR,Olavarria
Olbia,OLB,Costa Smeralda
Old Town,OLD,Old Town
Olean,OLE,Municipal
Olive Branch,OLV,Olive Branch Arpt
Olney,OLY,Olney-Noble
Olney,ONY,Olney
Olomouc,OLO,Olomouc
Olympia,OLM,Olympia
Omaha,OMA,Eppley Airfield
Omaha,MIQ,Maiquetia
Omak,OMK,Municipal
Omboue,OMB,Omboue
Omsk,OMS,Omsk
Oneonta,ONH,Municipal
Onslow,ONS,Onslow
Ontario,ONT,International
Ontario,JIO,Intl Heliport
Ontario,ONO,Ontario
Opelousas,OPL,St Landry Parish
Oradea,OMR,Oradea
Oran,ORN,Es Senia
Oran,TAF,Tafaraoui
Oran,ORA,Oran
Orange,JOR,The City Heliport
Orange,OAG,Springhill
Orange Walk,ORZ,Orange Walk
Orangeburg,OGB,Municipal
Oranjemund,OMD,Oranjemund
Orebro,ORB,Orebro-bofors
Orel,OEL,Orel
Orenburg,REN,Orenburg
Oriximina,ORX,Oriximina
Orland,OLA,Orland
Orlando,ORL,Orlando Executive
Orlando,MCO,International
Orlando,SFB,Orlando Sanford Intl
Orlando,DWS,Walt Disney World
Orleans,ORE,Orleans
Ornskoldsvik,OER,Ornskoldsvik
Orocue,ORC,Orocue
Oroville,OVE,Oroville
Orsk,OSW,Orsk
Oruro,ORU,Oruro
Osaka,ITM,Itami
Osaka,KIX,Kansai International
Osceola,OEO,Municipal
Osh,OSS,Osh
Oshakati,OHI,Oshakati
Oshawa,YOO,Oshawa
Oshkosh,OKS,Oshkosh
Oshkosh,OSH,Wittman Field
Osijek,OSI,Osijek
Oskaloosa,OOA,Municipal
Osorno,ZOS,Canal Balo
Ostersund,OSD,Froesoe
Ostrava,OSR,Mosnov
Otjiwarongo,OTJ,Otjiwarongo
Ottawa,ZIF,Fallowfield Railway
Ottawa,YND,Executive Gatineau-Ottawa
Ottawa,YOW,Ottawa International
Ottawa,YRO,Rockcliffe St
Ottumwa,OTM,Industrial
Ouagadougou,OUA,Ouagadougou
Ouahigouya,OUG,Ouahigouya
Ouargla,OGX,Ain Beida
Oudtshoorn,OUH,Oudtshoorn
Oujda,OUD,Les Angades
Oulu,OUL,Oulu
Oum Hadjer,OUM,Oum Hadjer
Ourinhos,OUS,Ourinhos
Ouyen,OYN,Ouyen
Ovalle,OVL,Ovalle
Owatonna,OWA,Owatonna
Owen Sound,YOS,Billy Bishop Regional
Owensboro,OWB,Daviess County
Oxford,OXC,Waterbury-Oxford
Oxford,OXF,Kidlington
Oxford,UOX,University-Oxford
Oxford,OXD,Miami University
Oxford House,YOH,Oxford House
Oyem,OYE,Oyem
Ozark,OZR,Cairns AAF
Ozark,HEY,Hanchey Army Heliport
Ozark,LOR,Lowe Army Heliport
Pa-an,PAA,Pa-an
Padang,PDG,Minangkabau International Airport
Paducah,PAH,Barkley Regional
Pagadian,PAG,Pagadian
Page,PGA,Page
Pagosa Springs,PGO,Stevens Field
Pahokee,PHK,Palm Beach Co Glades
Pailin,PAI,Pailin
Painesville,PVZ,Casement
Pakokku,PKK,Pakokku
Pala,PLF,Pala
Palangkaraya,PKY,Palangkaraya
Palembang,PLM,Mahmud Badaruddin Ii
Palermo,PMO,Punta Raisi
Palestine,PSN,Palestine
Palm Springs,UDD,Bermuda Dunes
Palm Springs,PSP,Municipal
Palma,LMZ,Palma
Palmas,PMW,Palmas
Palmdale,PMD,Air Force 42
Palmer,PAQ,Municipal
Palmer,PMX,Metropolitan
Palmyra,PMS,Palmyra
Palo Alto,PAO,Palo Alto
Palu,PLW,Mutiara
Pampa,PPA,Perry Lefors Field
Pamplona,PNA,Pamplona
Panama City,PFN,Bay County
Panama City,PAM,Tyndall AFB
Panama City,PAC,Paitilla
Panama City,PTY,Tocumen International
Panevezys,PNV,Panevezys
Pangkalpinang,PGK,Pangkalpinang
Pangnirtung,YXP,Pangnirtung
Paphos,PFO,International
Paragould,PGR,Municipal
Parakou,PKO,Parakou
Paramaribo,PBM,Zanderij Intl
Paramaribo,ORG,Zorg En Hoop
Parana,PRA,Parana
Paranagua,PNG,Municipal
Paranaiba,PBB,Paranaiba
Pardubice,PED,Pardubice
Parintins,PIN,Parintins
Paris,XEX,Aerogare des Invalides
Paris,BVA,Beauvais-Tille
Paris,XDT,C.de G. /TGV Rail Svc
Paris,CDG,Charles De Gaulle
Paris,XTT,Etoile
Paris,XPG,Gare du Nord Rail Stn
Paris,XGB,Gare Montparnasse
Paris,JDP,Heliport De Paris
Paris,JPU,La Defense Heliport
Paris,LBG,Le Bourget
Paris,ORY,Orly
Paris,POX,Paris Cergy Pontoise
Paris,VIY,Villa Coublay
Paris,PHT,Henry County
Paris,PRX,Cox Field
Parkersburg,PKB,Wood County
Parkes,PKE,Parkes
Parnaiba,PHB,Santos Dumont
Parnu,EPU,Parnu
Paro,PBH,Paro
Parry Sound,YPD,Parry Sound
Parsons,PPF,Tri-City
Pasadena,JPD,Heliport
Pascagoula,PGL,Jackson County
Pasco,PSC,Tri-Cities
Passo Fundo,PFB,Passo Fundo
Passos,PSW,Passos
Pasto,PSO,Cano
Pathankot,IXP,Pathankot
Patna,PAT,Patna
Pattani,PAN,Pattani
Patterson,PTN,Williams Memorial
Paulatuk,YPC,Paulatuk
Paulo Afonso,PAV,Paulo Afonso
Pavlodar,PWQ,Pavlodar
Paysandu,PDU,Paysandu
Payson,PJB,Payson
Peace River,YPE,Peace River
Pechora,PEX,Pechora
Pekanbaru,PKU,Simpang Tiga
Pell City,PLR,St Clair County
Pelotas,PET,Federal
Pemba,POL,Pemba
Pemba,PMA,Wawi
Pembroke,YTA,Pembroke And Area Apt
Pendleton,PDT,Pendleton
Pensacola,NDP,Ellyson NAS
Pensacola,NPA,Pensacola NAS
Pensacola,PNS,Regional
Pensacola,NUN,Saufley NAS
Penticton,YYF,Penticton
Penza,PEZ,Penza
Penzance,PZE,Penzance
Peoria,PIA,Greater Peoria
Pereira,PEI,Matecana
Perito Moreno,PMQ,Perito Moreno
Perm,PEE,Perm
Perpignan,PGF,Llabanere
Perry,FPY,Perry-Foley
Perry,PRO,Municipal
Perryville,KPV,Perryville SPB
Perth,PSL,Perth
Perth,ZXP,ScotRail
Perth,PER,Perth Airport
Peru,VYS,Illinois Valley Regnl
Peru,GUS,Grissom AFB
Perugia,PEG,Sant Egidio
Pescara,PSR,Liberi
Peshawar,PEW,Peshawar
Peterborough,YPQ,Peterborough
Petersburg,PSG,Municipal
Petersburg,FLE,Fort Lee AAF
Petersburg,PTB,Municipal
Petersburg,PGC,Grant County
Petrolina,PNZ,Internacional
Petropavlovsk,PPK,Petropavlovsk
Petrozavodsk,PES,Petrozavodsk
Pevek,PWE,Pevek
Phan Rang,PHA,Phan Rang
Phan Thiet,PHH,Phan Thiet
Phetchabun,PHY,Phetchabun
Philadelphia,PHL,Philadelphia International
Philadelphia,MUV,Mustin Alf
Philadelphia,ZHC,N Philadelphia Rail St
Philadelphia,PNE,North Philadelphia
Philadelphia,ZFV,Philadelphia Rail
Philadelphia,PSQ,SPB
Philadelphia,ZTN,Trenton Rail STN
Philadelphia,TTN,Trenton-Mercer
Phitsanulok,PHS,Phitsanulok
Phnom Penh,PNH,Phnom Penh International
Phoenix,LUF,Luke Afb
Phoenix,DVT,Phoenix-Deer Valley
Phoenix,SCF,Scottsdale Municipal
Phoenix,PHX,Sky Harbor Intl
Phrae,PRH,Phrae
Phuket,HKT,Phuket International
Picayune,PCU,Pearl River County
Picos,PCS,Picos
Piedras Negras,PDS,Piedras Negras
Pierre,PIR,Pierre
Pietermaritzburg,PZB,Pietermaritzburg Oribi
Pilar,PIL,Pilar
Pimenta Bueno,PBQ,Pimenta Bueno
Pine Bluff,PBF,Grider Field
Pingtung,PIF,Pingtung
Pinheiro,PHI,Pinheiro
Pirapora,PIV,Pirapora
Pisco,PIO,Pisco
Pittsburg,PTS,Municipal
Pittsburgh,AGC,Allegheny County
Pittsburgh,CVA,Civic Ar Heli
Pittsfield,PSF,Pittsfield
Piura,PIU,Piura
Placerville,PVF,Placerville
Plainview,PVW,Hale County
Plattsburgh,PBG,AFB
Plattsburgh,PLB,Clinton County
Pleasanton,JBS,Hacienda Bus.Park H/P
Pleven,PVN,Pleven
Plovdiv,PDV,Plovdiv
Plymouth,PLH,Plymouth
Plymouth,PLY,Plymouth
Plymouth,PYM,Plymouth
Po,PUP,Po
Pocahontas,POH,Municipal
Pocatello,PIH,Pocatello
Pochutla,PUH,Pochutla
Podgorica,TGD,Golubovci
Pohang,KPO,Pohang
Polokwane,PTG,Polokwane
Poltava,PLV,Poltava
Pompano Beach,PPM,Pompano Beach
Ponca City,PNC,Ponca City
Pond Inlet,YIO,Pond Inlet
Pondicherry,PNY,Pondicherry
Ponta Delgada,PDL,Nordela
Ponta Pora,PMG,International
Pontes e Lacerda,LCB,Pontes e Lacerda
Pontiac,PTK,Pontiac
Pontianak,PNK,Supadio
Popayan,PPN,Machangara
Poplar Bluff,POF,Earl Fields Memorial
Porbandar,PBD,Porbandar
Pori,POR,Pori
Porlamar,PMV,DelCaribe Gen S Marino
Port Alfred,AFD,Port Alfred
Port Angeles,CLM,Fairchild Intl
Port Antonio,POT,Ken Jones
Port Augusta,PUG,Port Augusta
Port Blair,IXZ,Port Blair
Port Douglas,PTI,Port Douglas
Port Elizabeth,BQU,Bequia Airport
Port Elizabeth,PLZ,Port Elizabeth
Port Harcourt,PHC,Port Harcourt
Port Harcourt,PHG,Port Harcourt City
Port Hardy,YZT,Port Hardy
Port Hedland,PHE,Port Hedland
Port Hueneme,NTD,Point Mugu NAS
Port Huron,PHN,St Clair County Intl
Port Lincoln,PLO,Port Lincoln
Port Macquarie,PQQ,Port Macquarie
Port Pirie,PPI,Port Pirie
Port Sudan,PZU,Port Sudan
Port Townsend,TWD,Port Townsend
Porterville,PTV,Porterville
Portimao,PRM,Portimao
Portland,PWM,Intl Jetport
Portland,PDX,Portland International
Portland,PTJ,Portland
Porto,OPO,Porto
Porto,ZYJ,Porto TP
Porto Alegre,POA,Salgado Filho
Porto Alegre,PGP,Porto Alegre
Porto Nacional,PNB,Porto Nacional
Porto Seguro,BPS,Porto Seguro
Porto Velho,PVH,Belmonte
Portoviejo,PVO,Portoviejo
Portsmouth,PME,Portsmouth
Portsmouth,PMH,Regional
Posadas,PSS,Posadas
Poso,PSJ,Poso
Poteau,RKR,Robert S Kerr
Potosi,POI,Potosi
Pottstown,PTW,Pottstown/Limerick
Poughkeepsie,POU,Dutchess County
Poulsbo,PUL,Poulsbo
Pouso Alegre,PPY,Pouso Alegre
Powell,POY,Powell
Powell River,YPW,Powell River
Poznan,POZ,Lawica
Prague,XYG,Hlavni N. Railway
Prague,XYJ,Holosovice Railway
Prague,PRG,Ruzyne
Pratt,PTT,Pratt
Prescott,PRC,Prescott
Presidente Dutra,PDR,Municipal
Presov,POV,Zamość
Presque Isle,PQI,Municipal
Preston,PST,Preston
Pretoria,HPR,Central Hpr
Pretoria,HIC,Iscor Heliport
Pretoria,PRY,Wonderboom Apt.
Price,PUC,Carbon County
Prieska,PRK,Prieska
Prince Albert,YPA,Prince Albert
Prince George,YXS,Prince George
Prince George,XDV,Pr. George Rail Stn
Prince Rupert,YPR,Digby Island
Prince Rupert,XDW,Pr. Rupert Rail Stn
Prince Rupert,ZSW,Seal Cove
Princeton,PNN,Princeton
Princeton,PCT,Princeton
Princeton,ZTJ,Princeton JT Rail
Princeton,BLF,Princeton
Prineville,PRZ,Prineville
Sao Paulo,PGG,Progresso
Proserpine,PPP,Whitsunday Coast
Providence,ZRV,Providence Rail
Providence,PVD,T. F. Green Airport
Provideniya,PVS,Provideniya
Provo,PVU,Provo
Pskov,PKV,Pskov
Pucallpa,PCL,Capitan Rolden
Puebla,PBC,Huejotsingo
Pueblo,PUB,Memorial
Puerto Aisen,WPA,Puerto Aisen
Puerto Ayacucho,PYH,Puerto Ayacucho
Puerto Barrios,PBR,Puerto Barrios
Puerto Berrio,PBE,Puerto Berrio
Puerto Cabello,PBL,Puerto Cabello
Puerto Cabezas,PUZ,Puerto Cabezas
Puerto Carreno,PCR,Puerto Carreno
Puerto Deseado,PUD,Puerto Deseado
Puerto Escondido,PXM,Puerto Escondido
Puerto Lempira,PEU,Puerto Lempira
Puerto Madryn,PMY,El Tehuelche
Puerto Maldonado,PEM,Puerto Maldonado
Puerto Montt,PMC,Tepual
Puerto Natales,PNT,Teniente J. Gallardo
Puerto Princesa,PPS,Puerto Princesa
Puerto Suarez,PSZ,Puerto Suarez
Puerto Vallarta,PVR,Ordaz
Puerto Varas,PUX,Puerto Varas
Puerto Williams,WPU,Puerto Williams
Pukatawagan,XPK,Pukatawagan
Pula,PUY,Pula
Pullman,PUW,Pullman-Moscow Regional Airport
Pune,PNQ,Lohegaon
Punta Arenas,PUQ,Pres Ibanez
Maldonado,PDP,Capitan Corbeta CA Curbelo International Airport
Punta Gorda,PND,Punta Gorda
Punta Gorda,PGD,Charlotte County
Pyongyang,FNJ,Sunan
Qingdao,TAO,Qingdao
Qinhuangdao,SHP,Qinhuangdao
Qiqihar,NDG,Qiqihar
Quakertown,UKT,Upper Bucks
Quang Ngai,XNG,Quang Ngai
Quebec,XFZ,Charny
Quebec,XLJ,Quebec Stn. Rail Svce.
Quebec,XFY,Sainte-Foy Rail Svce.
Queenstown,ZQN,Frankton
Queenstown,UEE,Queenstown
Queenstown,UTW,Queenstown
Quelimane,UEL,Quelimane
Queretaro,QRO,Queretaro
Quesnel,YQZ,Quesnel
Quetta,UET,Quetta
Quetzaltenango,AAZ,Quetzaltenango Airport
Qui Nhon,UIH,Qui Nhon
Quibdo,UIB,Quibdo
Quilpie,ULP,Quilpie
Quincy,UIN,Municipal
Quincy,MQI,Quincy
Quito,UIO,Mariscal Sucr
Rabat,RBA,Sale
Rach Gia,VKG,Rach Gia
Racine,RAC,Horlick
Rafha,RAH,Rafha
Rahim Yar Khan,RYK,Rahim Yar Khan
Raipur,RPR,Raipur
Rajahmundry,RJA,Rajahmundry
Rajkot,RAJ,Civil
Rajshahi,RJH,Rajshahi
Ranchi,IXR,Ranchi
Rangpur,RAU,Rangpur
Rankin Inlet,YRT,Rankin Inlet
Ranong,UNN,Ranong
Rapid City,RCA,Ellsworth AFB
Rapid City,RAP,Regional
Rasht,RAS,Rasht
Raton,RTN,Crews Field
Ravenna,RAN,La Spreta
Ravensthorpe,RVT,Ravensthorpe
Rawlins,RWL,Rawlins
Reading,RDG,Municipal/Spaatz Fld
Recife,REC,Guararapes Intl
Reconquista,RCQ,Reconquista
Red Bluff,RBL,Red Bluff Fss
Red Deer,YQF,Red Deer
Red Lake,YRL,Red Lake
Redding,RDD,Redding
Redmond,RDM,Roberts Field
Regina,REI,Regina
Reims,RHE,Reims
Rennes,ZFJ,Gare de Rennes
Rennes,RNS,St Jacques
Rensselaer,RNZ,Rensselaer
Renton,RNT,Renton
Repulse Bay,YUT,Repulse Bay
Resistencia,RES,Resistencia
Resolute,YRB,Resolute
Retalhuleu,RER,Base Aerea Del Sur
Revelstoke,YRV,Revelstoke
Reyes,REY,Reyes
Reykjavik,KEF,Keflavik International
Reykjavik,RKV,Reykjavik Domestic
Reynosa,REX,Gen Lucio Blanco
Rhinelander,RHI,Oneida County
Ribeirao Preto,RAO,Leite Lopes
Riberalta,RIB,Gen Buech
Rice Lake,RIE,Rice Lake
Richfield,RIF,Reynolds
Richland,RLD,Richland
Richmond,RID,Richmond
Richmond,XRH,Richmond AFB
Richmond,RCM,Richmond
Richmond,RIC,Intl (Byrd Field)
Richmond,ZRD,Richmond VA Rail
Rifle,RIL,Garfield County
Riga,RIX,Riga International Airport
Rigolet,YRG,Rigolet
Rijeka,RJK,Rijeka
Rimouski,YXK,Rimouski
Rio Branco,RBR,Pres. Medici
Rio Cuarto,RCU,Rio Cuarto
Rio Gallegos,RGL,Internacional
Rio Grande,RIG,Rio Grande
Rio Grande,RGA,Rio Grande
Rio Verde,RVD,Rio Verde
Riohacha,RCH,Riohacha
Rivera,RVY,Rivera
Rivercess,RVC,Rivercess
Riverside,JRD,Heliport
Riverside,RIV,March AFB
Riverside,RIR,Riverside Fla-Bob
Riverside,RAL,Riverside Municipal
Riverton,RIW,Riverton
Riyadh,RUH,King Khaled Intl
Roanne,RNE,Renaison
Roanoke,ROA,Municipal
Roanoke Rapids,RZZ,Halifax County
Roatan,RTB,Roatan
Robore,RBO,Robore
Rochester,RCS,Rochester
Rochester,RCR,Fulton County
Rochester,RST,Municipal
Rochester,JRC,Municipal Heliport
Rochester,ROC,Monroe County
Rochester,ZTE,Rochester NY Rail
Rock Hill,RKH,Rock Hill
Rock Springs,RKS,Sweetwater County
Rockdale,RCK,Coffield
Rockford,RMC,Machesney
Rockford,ZRF,Park & Ride Bus Svc
Rockford,ZRK,VanGalder Bus Termina
Rockhampton,ROK,Rockhampton
Rockland,RKD,Knox County Regional
Rockport,RKP,Aransas County
Rockwood,RKW,Municipal
Rocky Mount,RWI,Rocky Mount-Wilson
Roebourne,RBU,Roebourne
Rogers,ROG,Rogers
Roi Et,ROI,Roi Et Airport
Rolla,RLA,National
Roma,RMA,Roma
Roma,FAL,Falcon State
Rome,RMG,Richard B Russell
Rome,CIA,Ciampino
Rome,FCO,Leonardo Da Vinci (Fiumicino)
Rome,XVY,Mestre Rail Stn.
Rome,XRJ,Termini Rail Stn.
Rome,RME,Griffiss AFB
Rome,REO,State
Rondonopolis,ROO,Rondonopolis
Roosevelt,ROL,Roosevelt
Rosario,ROS,Fisherton
Rosario,RSJ,Rosario SPB
Roseau,ROX,Municipal
Roseburg,RBG,Municipal
Rostov,ROV,Rostov
Roswell,ROW,Industrial
Rouen,URO,Boos
Round Lake,ZRJ,Round Lake
Rovaniemi,RVN,Rovaniemi
Ruhengeri,RHG,Ruhengeri
Ruidoso,RUI,Municipal
Rundu,NDU,Rundu
Rupert,BYI,Rupert
Rurrenabaque,RBQ,Rurrenabaque
Ruston,RSN,Ruston
Ruteng,RTG,Ruteng
Rutland,RUT,Rutland
Ryazan,RZN,Ryazan
Rybinsk,RYB,Rybinsk
Rzeszow,RZE,Jasionka
Sacramento,SAC,Executive
Sacramento,MHR,Mather AFB
Sacramento,MCC,Mcclellan AFB
Sacramento,SMF,Sacramento International
Sacramento,SCK,Stockton
Sadah,SYE,Sadah
Safford,SAD,Safford
Safi,SFI,Safi
Saga,HSG,Saga
Saginaw,MBS,Tri City
Sahiwal,SWN,Sahiwal
Saidpur,SPD,Saidpur
Saint Cloud,STC,Municipal
Saint Cloud,JSK,Municipal Heliport
Saint George,SGU,Municipal
Saint John,YSJ,Saint John
Saint Marys,KSM,Saint Marys
Sala,XYX,Sala
Salalah,SLL,Salalah
Salamanca,SLM,Matacan
Sale,SXE,Sale
Salekhard,SLY,Salekhard
Salem,SLO,Leckrone
Salem,SXV,Salem
Salem,SLE,Mcnary Field
Salida,SLT,Salida
Salima,LMB,Salima
Salina,ZIQ,Harbour (Eolie Island)
Salina,SLN,Salina
Salina,SBO,Salina
Salina Cruz,SCX,Salina Cruz
Salinas,SNS,Salinas
Salinas,SNC,Salinas
Salisbury,SRW,Rowan County
Salluit,YZG,Salluit
Salt Lake City,SLC,International
Salta,SLA,Gen Belgrano
Saltillo,SLW,Saltillo
Salto,STY,Salto
Salvador,SSA,Arpt Luis R. Magalhaes
Salzburg,SZG,W.A. Mozart
Samara,KUF,Samara
Samarinda,SRI,Samarinda
Sambava,SVB,Sambava
Sampit,SMQ,Sampit
Samsun,SZF,Carsamba
San Angelo,GOF,Goodfellow AFB
San Angelo,SJT,Mathis Fld
San Antonio,SAT,San Antonio International
San Antonio,SKF,Kelly AFB
San Antonio,MDA,Martindale AAF
San Antonio,RND,Randolph AFB
San Antonio,SSF,Stinson Municipal
San Antonio,SVZ,San Antonio
San Bernardino,SBD,Norton Afb
San Bernardino,SBT,Tri-City
San Borja,SRJ,Capitan G Q Guardia
San Carlos,SQL,San Carlos
San Carlos,NCR,San Carlos
San Cristobal,SCY,San Cristobal Airport
San Cristobal,SCI,San Cristobal
San Diego,SDM,Brown Field Municipal
San Diego,CLD,Carlsbad
San Diego,SEE,Gillespie Field
San Diego,SAN,Lindberg Fld S. Diego
San Diego,NKX,Miramar MCAS
San Diego,MYF,Montgomery Field
San Diego,NZY,North Island Nas
San Felipe,SSD,San Felipe
San Felipe,SFH,San Felipe
San Felipe,SNF,San Felipe
San Fernando,SFR,San Fernando
San Fernando,FES,San Fernando
San Fernando,SFE,San Fernando
San Francisco,JCC,China Basin Heliport
San Francisco,EMB,Embarkadero
San Francisco,SFO,San Francisco International
San Ignacio,SQS,Matthew Spain
San Ignacio,SGM,San Ignacio
San Javier,SJV,San Javier
San Jose,SJS,San Jose
San Jose,SJC,Mineta San Jose International Airport
San Jose,RHV,Reid-Hillview
San Jose,SJO,Juan Santamaria Intl
San Jose,SJI,Mcguire Fld
San Juan,WSJ,San Juan SPB
San Juan,SJM,San Juan
San Juan,SJA,San Juan
San Juan,SIG,Isla Grande
San Juan,SJU,Luis Munoz Marin Intl
San Juan,UAQ,San Juan
San Luis,LUQ,San Luis
San Luis Obispo,SBP,County Airport
San Luis Potosi,SLP,San Luis Potosi
San Marcos,SRS,Santa Fe De Bogota
San Marino,SAI,San Marino
San Matias,MQK,San Matias
San Miguel,SYL,Roberts AAF
San Miguel,NMG,San Miguel
San Pedro,SPR,San Pedro
San Pedro,SPQ,Catalina SPB
San Pedro,SPY,San Pedro
San Pedro Sula,SAP,Ramon Villeda Morales
San Quintin,SNQ,San Quintin
San Rafael,SRF,Hamilton Field
San Rafael,JSG,San Rafael H/P
San Rafael,AFA,San Rafael
San Ramon,SRD,San Ramon
San Salvador,ZSA,San Salvador
San Salvador,SAL,Comalapa International
San Sebastian,EAS,San Sebastian
San Vicente,SVI,San Vicente
Sanandaj,SDG,Sanandaj
Sancti Spiritus,USS,Sancti Spiritus
Sandakan,SDK,Sandakan
Sandspit,YZP,Sandspit
Sandusky,SKY,Griffing Sandusky
Sanford,SFM,Sanford
